time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2018-05-03T05:05:57.000Z,13.557127,80.025044,-59,21.237999,,0,9,gps,1.4,0.9,1.7,-84,,,,20,
2018-05-03T05:07:18.000Z,13.557128,80.025048,-61,24.272,,0,8,gps,,,,,,,,19,
2018-05-03T05:08:34.000Z,13.557112,80.02505,-60,27.306,,0,9,gps,1.5,0.9,1.7,-84,,,,19,
2018-05-03T05:10:18.000Z,13.557112,80.025041,-62,33.374,,0,8,gps,2.2,0.9,2.4,-84,,,,18,
2018-05-03T06:40:42.000Z,13.557109,80.02505,-73,39.441998,,0,7,gps,1.3,0.9,1.6,-84,,,,39,
2018-05-03T06:41:59.000Z,13.557117,80.025122,-73,24.272,168.4,0.77,12,gps,1.1,0.9,1.4,-84,,,,39,
2018-05-03T06:43:05.000Z,13.557089,80.025114,-76,33.374,,0,8,gps,0.8,0.8,1.1,-84,,,,38,
2018-05-03T06:55:14.000Z,13.557302,80.025079,-79,39.441998,,0,7,gps,2.4,0.9,2.6,-84,,,,38,
2018-05-03T06:57:06.000Z,13.557007,80.025028,-65,39.441998,,0,5,gps,2.6,0.9,2.8,-84,,,,41,
2018-05-03T06:57:59.000Z,13.557041,80.025034,-74,34.891,,0,7,gps,1.5,0.9,1.8,-84,,,,41,
2018-05-03T06:59:40.000Z,13.556964,80.024963,-62,36.407997,281.1,0.32,8,gps,1,0.9,1.4,-84,,,,40,
2018-05-03T07:08:52.000Z,13.556969,80.024981,-66,30.34,,0,9,gps,1.2,0.9,1.5,-84,,,,40,
2018-05-03T07:12:17.000Z,13.557209,80.025035,-78,33.374,,0,5,gps,1,0.8,1.3,-84,,,,39,
2018-05-03T07:13:40.000Z,13.557162,80.025027,-79,22.755,,0,9,gps,0.8,0.9,1.2,-84,,,,39,
2018-05-03T07:14:45.886Z,13.557372,80.024277,-75,9.101999,268.2,1.43,8,gps,0.9,0.9,1.2,-84,,,,39,
2018-05-03T07:16:12.000Z,13.557664,80.023181,-76,9.101999,350.7,1.91,16,gps,0.6,0.7,1,-84,,,,39,
2018-05-03T07:17:27.000Z,13.558861,80.0229,-74,13.653,0.2,1.68,11,gps,0.7,0.7,1,-84,,,,39,
2018-05-03T07:18:30.000Z,13.559645,80.022522,-81,9.101999,339,1.75,14,gps,0.8,0.8,1.1,-84,,,,39,
2018-05-03T07:19:49.000Z,13.560224,80.02229,-81,19.720999,,0,4,gps,0.7,0.7,1,-84,,,,39,
2018-05-03T07:20:59.000Z,13.560215,80.022253,-80,15.17,,0,6,gps,0.7,0.7,1,-84,,,,38,
2018-05-03T07:22:03.000Z,13.560248,80.02227,-76,18.203999,,0,14,gps,0.6,0.7,0.9,-84,,,,38,
2018-05-03T07:23:21.000Z,13.565043,80.029131,-63,12.136,51.5,14.52,16,gps,0.8,0.8,1.1,-84,,,,38,
2018-05-03T07:23:45.739Z,13.566807,80.031706,-64,13.653,55.7,13.51,4,gps,0.6,0.7,0.9,-84,,,,38,
2018-05-03T07:24:14.000Z,13.569169,80.034379,-66,9.101999,50.8,13.09,19,gps,0.7,0.7,1,-84,,,,38,
2018-05-03T07:24:40.699Z,13.571313,80.037054,-67,6.068,51.4,14.13,10,gps,0.6,0.7,0.9,-84,,,,37,
2018-05-03T07:25:07.000Z,13.57341,80.039841,-73,6.068,51.3,14.42,19,gps,0.6,0.7,0.9,-84,,,,37,
2018-05-03T07:25:19.132Z,13.574475,80.041048,-71,7.585,50.6,14.51,11,gps,0.6,0.7,0.9,-84,,,,37,
2018-05-03T07:25:33.732Z,13.575329,80.042257,-65,9.101999,55.7,5.19,7,gps,0.6,0.7,0.9,-84,,,,37,
2018-05-03T07:26:12.000Z,13.576567,80.043585,-73,10.6189995,5.2,2.59,20,gps,,,,,,,,37,
2018-05-03T07:26:34.000Z,13.576785,80.043553,-80,9.101999,323,4.91,21,gps,,,,,,,,37,
2018-05-03T07:26:47.000Z,13.577599,80.042961,-71,7.585,321.1,10.6,17,gps,0.6,0.6,0.9,-84,,,,37,
2018-05-03T07:27:00.092Z,13.578855,80.042109,-81,13.653,323.9,14.34,13,gps,0.6,0.6,0.9,-84,,,,37,
2018-05-03T07:27:14.000Z,13.580249,80.040912,-72,13.653,322.2,15.23,20,gps,0.6,0.6,0.9,-84,,,,37,
2018-05-03T07:27:23.372Z,13.581255,80.04012,-80,10.6189995,322.2,15.35,8,gps,0.6,0.6,0.9,-84,,,,37,
2018-05-03T07:27:38.000Z,13.582962,80.038753,-86,9.101999,322.1,15.37,18,gps,0.6,0.6,0.9,-84,,,,37,
2018-05-03T07:27:49.000Z,13.584081,80.037851,-91,13.653,322.6,15.19,17,gps,0.6,0.7,0.9,-84,,,,37,
2018-05-03T07:28:03.000Z,13.585466,80.036771,-82,19.720999,321.9,12.76,17,gps,0.6,0.7,1,-84,,,,37,
2018-05-03T07:28:14.112Z,13.586575,80.035957,-80,13.653,324.7,14.19,11,gps,0.7,0.7,1,-84,,,,36,
2018-05-03T07:28:27.000Z,13.587747,80.035167,-85,16.687,327.2,12.17,20,gps,0.6,0.7,0.9,-84,,,,36,
2018-05-03T07:28:35.172Z,13.58857,80.034526,-86,7.585,318,13.31,11,gps,0.6,0.7,0.9,-84,,,,36,
2018-05-03T07:28:48.000Z,13.589441,80.033433,-83,19.720999,301.5,11,19,gps,0.6,0.7,0.9,-84,,,,36,
2018-05-03T07:30:08.000Z,13.589689,80.033011,-79,6.068,141.6,1.15,20,gps,,,,,,,,36,
2018-05-03T07:30:19.770Z,13.589543,80.033124,-71,7.585,135.2,1.47,14,gps,0.7,0.7,0.9,-84,,,,36,
2018-05-03T07:30:31.550Z,13.589521,80.03325,-73,6.068,123.8,1.47,14,gps,0.6,0.7,0.9,-84,,,,36,
2018-05-03T07:30:44.000Z,13.589443,80.033396,-79,4.5509996,118.1,1.28,18,gps,0.7,0.8,1,-84,,,,36,
2018-05-03T07:30:43.806Z,13.589474,80.033013,0,24.263,0,0,0,network,,,,,,,,36,
2018-05-03T07:31:11.000Z,13.589239,80.033671,-78,4.5509996,131.9,1.3,18,gps,0.7,0.8,1,-84,,,,36,
2018-05-03T07:31:22.130Z,13.589112,80.033749,-75,6.068,142.6,1.39,18,gps,0.6,0.7,0.9,-84,,,,36,
2018-05-03T07:31:32.590Z,13.588984,80.033869,-74,7.585,136.9,1.28,14,gps,0.7,0.8,1,-84,,,,35,
2018-05-03T07:31:46.630Z,13.588887,80.033989,-62,7.585,142.1,1.12,12,gps,0.7,0.7,1,-84,,,,35,
2018-05-03T07:32:00.796Z,13.588819,80.034022,0,23.726,0,0,0,network,,,,,,,,35,
2018-05-03T07:32:44.000Z,13.58848,80.034235,-69,10.6189995,148.3,1.15,0,gps,,,,,,,,35,
2018-05-03T07:33:12.386Z,13.588731,80.034014,0,37.414,0,0,0,network,,,,,,,,35,
2018-05-03T07:33:30.685Z,13.588729,80.034063,0,30.282,0,0,0,network,,,,,,,,35,
2018-05-03T07:34:00.000Z,13.587809,80.03486,-62,9.101999,143.8,1.28,10,gps,0.7,0.7,1,-84,,,,35,
2018-05-03T07:34:14.330Z,13.587681,80.03495,-77,6.068,141.1,1.49,16,gps,0.7,0.7,1,-84,,,,35,
2018-05-03T07:34:29.590Z,13.587543,80.035032,-76,12.136,177.4,1.18,16,gps,0.7,0.7,1,-84,,,,35,
2018-05-03T07:34:42.032Z,13.587657,80.034853,0,38.73,0,0,0,network,,,,,,,,35,
2018-05-03T07:35:57.169Z,13.587376,80.035087,0,23.809,0,0,0,network,,,,,,,,35,
2018-05-03T07:37:16.458Z,13.58738,80.035084,0,23.6,0,0,0,network,,,,,,,,35,
2018-05-03T07:38:18.205Z,13.58738,80.035084,0,22.5,0,0,0,network,,,,,,,,35,
2018-05-03T07:39:21.000Z,13.587351,80.035143,-70,25.789,,0,11,gps,1.1,0.8,1.4,-84,,,,35,
2018-05-03T07:40:56.593Z,13.587419,80.035068,0,26.473,0,0,0,network,,,,,,,,35,
2018-05-03T07:41:44.011Z,13.587865,80.03483,-86,9.101999,327.3,1.18,14,gps,0.7,0.7,1,-84,,,,34,
2018-05-03T07:42:11.191Z,13.588204,80.034626,-85,9.101999,318.6,1.33,9,gps,0.7,0.7,1,-84,,,,34,
